TE	Count	Ratio	Type	log2Ratio
L1MC4	8	2.083426303	lincRNA_HoCh	1.058958069
AluSz	141	2.073557155	PC_HoCh	1.052107814
AluYk3	7	2.024123162	PC_HoCh	1.017297077
AluJo	1	2.021854222	PC_Ho	1.015678981
L3	30	2.013086302	PC_HoChMo	1.009409022
AluJo	53	2.011228862	PC_HoCh	1.008077259
MLT1A0	2	1.912457863	lincRNA_HoChMo	0.935427961
L2a	100	1.82001726	PC_HoChMo	0.863952132
MLT1L	7	1.768430618	PC_HoChMo	0.822469618
MLT1G1	2	1.681656125	PC_HoChMo	0.749882725
MLT1L	1	1.662002271	lincRNA_HoChMo	0.732922354
L2c	10	1.574436163	lincRNA_HoChMo	0.654835264
L2	27	1.514670702	PC_HoChMo	0.599004178
MER20B	2	1.459550671	PC_HoChMo	0.545524297
MLT1F	1	1.43073244	lincRNA_HoCh	0.5167539
MLT1K	8	1.375297701	PC_HoChMo	0.459743942
L1MA5	1	1.371650014	lincRNA_HoCh	0.455912415
L3	3	1.324353797	lincRNA_HoChMo	0.405288585
MLT1B	7	1.197067306	PC_HoChMo	0.259504271
L1MC4	9	1.149186145	PC_HoChMo	0.200612504
THE1D	8	1.110590355	PC_HoCh	0.151326772
AluYk3	1	1.016257841	lincRNA_HoCh	0.023266483
MLT1G1	2	0.975916055	PC_HoCh	-0.035171038
L1MC4	13	0.963310942	PC_HoCh	-0.053926542
MLT1A1	2	0.895196546	PC_HoChMo	-0.159723626
MLT1A0	6	0.872110474	PC_HoChMo	-0.197417195
AluSx1	1	0.862387566	PC_Ho	-0.213591718
THE1B	11	0.861653373	PC_HoCh	-0.214820478
AluSg	6	0.852966752	lincRNA_HoCh	-0.229438588
L2a	7	0.83813731	lincRNA_HoChMo	-0.254741479
AluJo	6	0.800206157	lincRNA_HoCh	-0.321556366
MLT1I	5	0.796807837	PC_HoCh	-0.327696257
L2b	41	0.78573232	PC_HoCh	-0.34789019
L2	24	0.781341643	PC_HoCh	-0.355974587
L2b	11	0.740881006	lincRNA_HoCh	-0.432686247
L2c	1	0.739984997	PC_Ho	-0.434432074
L2a	68	0.718223628	PC_HoCh	-0.47749498
MIR3	10	0.702888996	lincRNA_HoCh	-0.508631225
MLT1A0	8	0.674816213	PC_HoCh	-0.567433459
L3b	1	0.641162249	lincRNA_HoCh	-0.641238612
MLT1K	6	0.598595227	PC_HoCh	-0.74034732
MIR1_Amn	4	0.59592994	PC_HoCh	-0.746785363
ERVL-E-int	3	0.59075097	PC_HoCh	-0.759378001
MLT1A	3	0.578444777	PC_HoCh	-0.789748859
MARNA	1	0.563440568	PC_HoCh	-0.827664652
AluSp	6	0.563168401	lincRNA_HoCh	-0.828361707
L2a	1	0.562749337	PC_Ho	-0.829435644
MIRb	71	0.557091323	PC_HoCh	-0.84401425
L2a	15	0.55681003	lincRNA_HoCh	-0.844742897
MLT1I	2	0.549209852	PC_HoChMo	-0.864570589
MIR1_Amn	1	0.523600713	lincRNA_HoCh	-0.933461034
MLT1A1	2	0.519509707	PC_HoCh	-0.944777389
AluSz	10	0.516846897	lincRNA_HoCh	-0.952191114
AluSx1	9	0.51197151	lincRNA_HoCh	-0.965864565
L2c	33	0.458324041	PC_HoCh	-1.125560132
L2	4	0.457672414	lincRNA_HoCh	-1.127612759
L2d	7	0.443097887	PC_HoCh	-1.174302649
MIRb	16	0.441217818	lincRNA_HoCh	-1.180437041
MLT1L	3	0.439831682	PC_HoCh	-1.184976566
L2c	9	0.439305077	lincRNA_HoCh	-1.186704921
L3	11	0.428360181	PC_HoCh	-1.223103718
L3	3	0.41058462	lincRNA_HoCh	-1.284248507
MLT1F	1	0.407092789	PC_HoCh	-1.296570429
MIRc	23	0.400573913	PC_HoCh	-1.319859626
MIR3	20	0.399992387	PC_HoCh	-1.321955554
MLT1B	4	0.396968266	PC_HoCh	-1.332904414
ERVL-E-int	1	0.339318798	PC_HoChMo	-1.559286739
MLT1A	1	0.332250299	PC_HoChMo	-1.589657597
MIRc	5	0.306048211	lincRNA_HoCh	-1.708169158
L2d	1	0.222467541	lincRNA_HoCh	-2.168333242
L3b	1	0.182432802	PC_HoCh	-2.454562941
